,x1,y1,z1
6074,2469,2181,1.8918131775959999
6073,2469,2149,1.5822070945456261
6072,2469,2117,1.2196279355868165
6071,2469,2085,0.9118619633630983
6070,2469,2053,0.8370612886566796
6069,2469,2021,0.5456308819372697
6068,2469,1989,0.4904984722919664
6067,2469,1957,0.3595619731141061
6066,2469,1925,0.25458256210305147
6065,2469,1893,0.17320459131108684
6064,2469,1861,0.14749072663130522
6063,2469,1829,0.09379888189054053
6062,2469,1797,0.06622291493264618
6061,2469,1765,0.03811825708136065
6060,2469,1733,0.024838694059749856
6059,2469,1701,0.023166797937818513
6058,2469,1669,0.01161976575448042
6057,2469,1637,0.005353934764850345
6056,2469,1605,0.0048140419279622555
6055,2469,1573,0.002581213467037322
6054,2469,1541,0.0013070428084229718
6053,2469,1509,0.0008413688515253175
6052,2469,1477,0.0003829843291365657
6051,2469,1445,0.00022838107697291737
6050,2469,1413,0.00013152764938202972
6049,2469,1381,7.293966003232361e-05
6048,2469,1349,5.728764090555531e-05
6047,2469,1317,1.9756195152375703e-05
6046,2469,1285,1.4751108797105454e-05
6045,2469,1253,1.0834058688216996e-05
6044,2469,1221,7.81503053729371e-06
6043,2469,1189,3.438005909957802e-06
6042,2469,1157,1.4160010025607827e-06
6041,2469,1125,9.240004268459994e-07
6040,2469,1093,5.860001716671783e-07
6039,2469,1061,6.310001991092757e-07
6038,2469,1029,2.140000229518966e-07
6037,2469,997,1.2200000743329635e-07
6036,2469,965,1.250000078299729e-07
6035,2469,933,6.700000223698984e-08
6034,2469,901,6.600000219877177e-08
6033,2469,869,6.500000216155369e-08
6032,2469,837,6.300000197909524e-08
6031,2469,805,2.9000000377480112e-08
6030,2469,773,1.200000006568373e-08
6029,2469,741,2.4000000275367463e-08
6028,2469,709,2.1000000181690952e-08
6027,2469,677,1.800000020803675e-08
6026,2469,645,1.500000013236024e-08
6025,2469,613,2.8000000377262042e-08
6024,2469,581,2.2000000285931326e-08
6023,2469,549,1.600000011957831e-08
6022,2469,517,3.000000048972049e-08
6021,2469,485,5.500000151130606e-08
6020,2469,453,1.0000000494736474e-07
6019,2469,421,1.8200001652171639e-07
6018,2469,389,3.2700005343117115e-07
6017,2469,357,5.780001670153864e-07
6016,2469,325,1.0050005050112066e-06
6015,2469,293,1.7030014501256963e-06
6014,2469,261,9.157041925617828e-06
6013,2469,229,1.535011781242517e-05
6012,2469,197,8.425754956764208e-05
6011,2469,165,0.0001385345954739652
6010,2469,133,0.0007912139272030821
6009,2469,101,0.004575988885439923
6008,2469,69,0.027159601506707574
6007,2469,37,0.1750701582495365
6006,2469,5,0.7474277175804079
5994,2437,2117,1.6116205476503145
5993,2437,2085,1.2364672739921871
5992,2437,2053,1.0645604418873036
5991,2437,2021,0.7755692087395637
5990,2437,1989,0.7035013221536971
5989,2437,1957,0.4840034007317171
5988,2437,1925,0.3509548847146628
5987,2437,1893,0.3069789656530091
5986,2437,1861,0.16416004244610008
5985,2437,1829,0.1381749653396113
5984,2437,1797,0.09971657270993178
5983,2437,1765,0.059469563902739477
5982,2437,1733,0.0472855603037372
5981,2437,1701,0.03086227324088024
5980,2437,1669,0.019341192813447396
5979,2437,1637,0.014375895795423548
5978,2437,1605,0.006617042416805315
5977,2437,1573,0.0035810232168092403
5976,2437,1541,0.002403091111921108
5975,2437,1509,0.0015701250013768543
5974,2437,1477,0.0007361548955373621
5973,2437,1445,0.0006132890232735378
5972,2437,1413,0.0005064562273069475
5971,2437,1381,0.00020921088307071067
5970,2437,1349,0.00011528264478880236
5969,2437,1317,6.082184961115741e-05
5968,2437,1285,3.060046818954284e-05
5967,2437,1253,2.24832527463949e-05
5966,2437,1221,1.0398054059599297e-05
5965,2437,1189,7.247026259619382e-06
5964,2437,1157,4.938012191972015e-06
5963,2437,1125,1.9790019582083817e-06
5962,2437,1093,1.2560007887736914e-06
5961,2437,1061,7.720002980298959e-07
5960,2437,1029,8.080003264509695e-07
5959,2437,997,4.720001113656397e-07
5958,2437,965,2.6400003482007046e-07
5957,2437,933,1.410000099495515e-07
5956,2437,901,1.39000009615093e-07
5955,2437,869,6.800000227620791e-08
5954,2437,837,6.40000020143133e-08
5953,2437,805,5.900000173720065e-08
5952,2437,773,2.5000000271585533e-08
5951,2437,741,4.7000001107516884e-08
5950,2437,709,4.1000000791163855e-08
5949,2437,677,3.400000061561507e-08
5948,2437,645,2.8000000377262042e-08
5947,2437,613,5.100000130141147e-08
5946,2437,581,3.900000076772772e-08
5945,2437,549,7.20000025541025e-08
5944,2437,517,5.200000132462954e-08
5943,2437,485,9.200000418357552e-08
5942,2437,453,1.640000134727014e-07
5941,2437,421,2.900000420638984e-07
5940,2437,389,1.74000015101927e-07
5939,2437,357,8.690003775396491e-07
5938,2437,325,1.4690010789577405e-06
5937,2437,293,2.4200029281521883e-06
5936,2437,261,1.2470077751138541e-05
5935,2437,229,2.0318206413377097e-05
5934,2437,197,0.00010690771442602565
5933,2437,165,0.00017084559327733154
5932,2437,133,0.0009354233720558206
5931,2437,101,0.005188028577227874
