,x1,y1,z1
6194165,2486,1594,0.0012654929932167233
6194015,2486,1444,7.140171055540153e-05
6193865,2486,1294,1.0340240415508833e-05
6193715,2486,1144,2.8229150500203434e-07
6193565,2486,994,7.730442464229138e-08
6193415,2486,844,1.1725951175570211e-08
6193265,2486,694,3.4743558672946905e-09
6193115,2486,544,7.817300764607745e-09
6192965,2486,394,7.33957736411226e-08
6192815,2486,244,4.838936075113338e-06
6192665,2486,94,0.003537437420175592
6192515,2485,2440,2.745300659116481
6192365,2485,2290,1.4588197913753316
6192215,2485,2140,0.5475659987989729
6192065,2485,1990,0.1819925216609209
6191915,2485,1840,0.04926312826628938
6191765,2485,1690,0.004436946829970192
6191615,2485,1540,0.0004276248484609979
6191465,2485,1390,3.280697567629051e-05
6191315,2485,1240,2.3977464535525363e-06
6191165,2485,1090,2.0368415975373262e-07
6191015,2485,940,2.4754786197129224e-08
6190865,2485,790,5.64582828641435e-09
6190715,2485,640,6.514417286032099e-09
6190565,2485,490,1.2160245657133874e-08
6190415,2485,340,2.9705752720380133e-07
6190265,2485,190,6.097966045653617e-05
6190115,2485,40,0.056190412899750845
6189965,2484,2386,2.164637587442384
6189815,2484,2236,1.0986153895911366
6189665,2484,2086,0.37695910099456714
6189515,2484,1936,0.11449276338493715
6189365,2484,1786,0.020842431211531877
6189215,2484,1636,0.002325148958147866
6189065,2484,1486,0.00016915024759761702
6188915,2484,1336,1.383771123217106e-05
6188765,2484,1186,7.422099037742115e-07
6188615,2484,1036,7.817301378522633e-08
6188465,2484,886,1.3463129152647006e-08
6188315,2484,736,4.777239336750152e-09
6188165,2484,586,4.777239336750152e-09
6188015,2484,436,5.0812457364626126e-08
6187865,2484,286,1.1743338667751926e-06
6187715,2484,136,0.0002391436393732845
6187565,2483,2482,3.002335825901698
6187415,2483,2332,1.720092048341654
6187265,2483,2182,0.7476686491052683
6187115,2483,2032,0.28892506457138223
6186965,2483,1882,0.05839353584494287
6186815,2483,1732,0.010774775093573925
6186665,2483,1582,0.0008629756756555787
6186515,2483,1432,8.408668287696231e-05
6186365,2483,1282,5.287567505281857e-06
6186215,2483,1132,5.66754668670175e-07
6186065,2483,982,9.12018507519811e-08
6185915,2483,832,6.514417286032099e-09
6185765,2483,682,3.9086503406067585e-09
6185615,2483,532,7.817300764607745e-09
6185465,2483,382,7.25271845559585e-08
6185315,2483,232,1.4492648672313632e-05
6185165,2483,82,0.0033453025899500264
6185015,2482,2428,2.650605316267364
6184865,2482,2278,1.3259755208505932
6184715,2482,2128,0.5400317677284445
6184565,2482,1978,0.16042563163817797
6184415,2482,1828,0.030175282352155424
6184265,2482,1678,0.004053743515212015
6184115,2482,1528,0.0004971381626469453
6183965,2482,1378,2.6705154442795344e-05
6183815,2482,1228,4.481507881155136e-06
6183665,2482,1078,2.4190209379511913e-07
6183515,2482,928,1.4766012652068788e-08
6183365,2482,778,6.080122810114264e-09
6183215,2482,628,7.3830062391706525e-09
6183065,2482,478,1.2594540139131832e-08
6182915,2482,328,2.8663445263930343e-07
6182765,2482,178,5.692844592206081e-05
6182615,2482,28,0.06087694271373582
6182465,2481,2374,2.1568070392471514
6182315,2481,2224,0.984355476843925
6182165,2481,2074,0.3703090600453381
6182015,2481,1924,0.09875689895520556
6181865,2481,1774,0.019596687796186472
6181715,2481,1624,0.002094252729760078
6181565,2481,1474,0.0001980221867539401
6181415,2481,1324,7.272756288915397e-06
6181265,2481,1174,5.359197213142545e-07
6181115,2481,1024,9.250473448461908e-08
6180965,2481,874,1.5634601621710533e-08
6180815,2481,724,5.64582828641435e-09
6180665,2481,574,1.3028834669780459e-08
6180515,2481,424,5.168104640636076e-08
6180365,2481,274,1.1009379070752965e-06
6180215,2481,124,0.0007438108663333024
6180065,2480,2470,3.089901975844558
6179915,2480,2320,1.7115469811485435
6179765,2480,2170,0.6968543215006514
6179615,2480,2020,0.2596732715776666
6179465,2480,1870,0.06382786190257124
6179315,2480,1720,0.012085735279623599
6179165,2480,1570,0.000996756982392692
6179015,2480,1420,7.00330257943398e-05
6178865,2480,1270,4.0715298531595044e-06
6178715,2480,1120,4.004196969145174e-07
6178565,2480,970,3.0834909305594134e-08
6178415,2480,820,1.5634601621710533e-08
6178265,2480,670,1.0423067685268613e-08
6178115,2480,520,2.2149019142261663e-08
6177965,2480,370,7.035571175421565e-08
6177815,2480,220,1.3710893221265592e-05
6177665,2480,70,0.010452981108570427
6177515,2479,2416,2.4720345204668095
6177365,2479,2266,1.3171147891277226
6177215,2479,2116,0.4642479913924889
6177065,2479,1966,0.15590217681015148
6176915,2479,1816,0.033333484392563194
6176765,2479,1666,0.0036938178814076164
6176615,2479,1516,0.0003211687501024223
6176465,2479,1366,2.1596264359479946e-05
6176315,2479,1216,2.1449857431588215e-06
6176165,2479,1066,1.6416334517221963e-07
6176015,2479,916,1.737177961442193e-08
6175865,2479,766,6.948711762384229e-09
6175715,2479,616,7.817300764607745e-09
6175565,2479,466,3.5177854476512737e-08
6175415,2479,316,8.481779514267566e-07
6175265,2479,166,0.0001721428436333403
6175115,2479,16,0.22697890680216842
6174965,2478,2362,1.994765418624232
6174815,2478,2212,1.0273874189462855
6174665,2478,2062,0.3362803268707937
6174515,2478,1912,0.08457219881216581
6174365,2478,1762,0.015446305305346426
6174215,2478,1612,0.0018804348852255637
6174065,2478,1462,0.00016830782336804193
6173915,2478,1312,8.643414789751371e-06
6173765,2478,1162,1.0527311000203606e-06
6173615,2478,1012,5.993264263056348e-08
6173465,2478,862,1.8240368637491582e-08
6173315,2478,712,6.080122810114264e-09
6173165,2478,562,5.64582828641435e-09
6173015,2478,412,5.168104640636076e-08
6172865,2478,262,3.3349601311233565e-06
6172715,2478,112,0.0006793815947611153
6172565,2477,2458,2.8981230694298357
6172415,2477,2308,1.6340280465241521
6172265,2477,2158,0.7310003471664553
6172115,2477,2008,0.2538500142665021
6171965,2477,1858,0.046541592831323454
6171815,2477,1708,0.007603752192901277
6171665,2477,1558,0.000668873175483001
6171515,2477,1408,8.237610341060073e-05
6171365,2477,1258,3.107822432305137e-06
6171215,2477,1108,2.792514416528567e-07
6171065,2477,958,3.648073799286232e-08
