x,y005,y001,y0001
196,0.0709,0.0211,0.00161
197,0.0753,0.0144,0.00314
198,0.0799,0.0157,0.00199
199,0.0846,0.017,0.00124
200,0.0628,0.0184,0.00138
201,0.0668,0.0126,0.00154
202,0.0709,0.0137,0.00171
203,0.0752,0.0148,0.0033
204,0.0797,0.016,0.00119
205,0.0844,0.0174,0.00233
206,0.0629,0.0188,0.00258
207,0.0668,0.0203,0.00164
208,0.0709,0.014,0.00182
209,0.0751,0.0152,0.00201
210,0.0796,0.0164,0.00223
211,0.0842,0.0177,0.00246
212,0.063,0.0191,0.00157
213,0.0939,0.0206,0.003
214,0.0708,0.0222,0.0033
215,0.075,0.0155,0.00213
216,0.0794,0.0167,0.00135
217,0.0839,0.018,0.0015
218,0.063,0.0125,0.000941
219,0.0668,0.0135,0.00183
220,0.0707,0.0146,0.00345
221,0.0748,0.0158,0.00224
222,0.0791,0.017,0.00143
223,0.0836,0.0183,0.00158
224,0.0882,0.0197,0.00298
225,0.0667,0.0212,0.00193
226,0.0706,0.0149,0.00123
227,0.0746,0.0161,0.00137
228,0.0788,0.0173,0.00258
229,0.0832,0.0186,0.00284
230,0.0629,0.02,0.00184
231,0.0925,0.0215,0.00203
232,0.0704,0.0152,0.00223
233,0.0744,0.0163,0.000827
234,0.0785,0.0176,0.00159
235,0.0829,0.0123,0.000577
236,0.0873,0.0133,0.00193
237,0.0664,0.0143,0.00125
238,0.0702,0.0154,0.00233
239,0.0741,0.0166,0.00256
240,0.0782,0.0178,0.000972
241,0.0825,0.0191,0.00184
242,0.0869,0.0205,0.00336
243,0.0663,0.0146,0.00131
244,0.07,0.0157,0.00243
245,0.0739,0.0168,0.000929
246,0.0779,0.0181,0.00175
247,0.082,0.0194,0.00113
248,0.0864,0.0208,0.00348
249,0.0661,0.0148,0.00138
250,0.0698,0.0238,0.00253
251,0.0736,0.0171,0.00277
252,0.0775,0.0121,0.00183
253,0.0816,0.013,0.00201
254,0.0859,0.021,0.0022
255,0.0659,0.015,0.00144
256,0.0695,0.0161,0.00158
257,0.0732,0.0173,0.00103
258,0.0771,0.0185,0.00191
259,0.0812,0.0198,0.00209
260,0.0853,0.0212,0.00137
261,0.0656,0.0152,0.00151
262,0.0692,0.0163,0.00165
263,0.0729,0.0175,0.00181
264,0.0767,0.0187,0.00119
265,0.0807,0.0134,0.00217
266,0.0848,0.0143,0.00143
267,0.0654,0.0154,0.00258
268,0.0689,0.0165,0.00282
269,0.0725,0.0176,0.00307
270,0.0763,0.0189,0.00206
271,0.0802,0.0202,0.00225
272,0.0843,0.0145,0.00245
273,0.0884,0.0156,0.00163
274,0.0686,0.0167,0.00179
275,0.0722,0.0178,0.00195
276,0.0759,0.019,0.00213
277,0.0797,0.0203,0.00142
278,0.0837,0.0147,0.00155
279,0.0648,0.0157,0.00276
280,0.0682,0.0168,0.00185
281,0.0718,0.018,0.00202
282,0.0754,0.0192,0.00221
283,0.0792,0.0205,0.0024
284,0.0831,0.0148,0.00261
285,0.0872,0.0159,0.00107
286,0.0679,0.017,0.00117
287,0.0714,0.0181,0.00128
288,0.075,0.0193,0.0014
289,0.0787,0.0206,0.00153
290,0.0826,0.015,0.00102
291,0.0865,0.0233,0.00182
292,0.0675,0.0171,0.00198
293,0.071,0.0182,0.00216
294,0.0745,0.0194,0.00235
295,0.0782,0.0207,0.00255
296,0.082,0.0151,0.00173
297,0.0639,0.0161,0.00188
298,0.09,0.0172,0.00205
299,0.0705,0.0184,0.00222
300,0.074,0.0196,0.00242
301,0.0776,0.0143,0.00262
302,0.0814,0.0153,0.00284
303,0.0636,0.0163,0.0012
304,0.0668,0.0173,0.00211
305,0.0701,0.0185,0.00143
306,0.0735,0.0197,0.00248
307,0.0771,0.0209,0.00169
308,0.0808,0.0222,0.00292
309,0.0846,0.0164,0.00124
310,0.0885,0.0174,0.00217
311,0.0697,0.0186,0.00147
312,0.0731,0.0198,0.0016
313,0.0766,0.0145,0.00276
314,0.0802,0.0223,0.00299
315,0.0839,0.0237,0.00323
316,0.0878,0.0251,0.00223
317,0.0692,0.0187,0.00241
318,0.0726,0.0198,0.00165
319,0.076,0.0211,0.00179
320,0.0796,0.0156,0.00306
321,0.0833,0.0166,0.00211
322,0.0656,0.0121,0.00144
323,0.0688,0.0187,0.00247
324,0.072,0.0199,0.00268
325,0.0755,0.0147,0.00184
326,0.079,0.0157,0.00312
327,0.0826,0.0167,0.00216
328,0.0652,0.0177,0.00234
329,0.0683,0.0188,0.00253
330,0.0715,0.02,0.00175
331,0.0749,0.0148,0.00119
332,0.0784,0.0157,0.00205
333,0.0819,0.0167,0.00222
334,0.0856,0.0178,0.0024
335,0.0678,0.0189,0.00259
336,0.071,0.02,0.00179
337,0.0743,0.0149,0.00194
338,0.0777,0.0158,0.0021
339,0.0813,0.0168,0.00227
340,0.0849,0.0178,0.00245
341,0.0674,0.0189,0.00265
342,0.0705,0.0201,0.00116
343,0.0738,0.015,0.00199
344,0.0771,0.0159,0.00332
345,0.0806,0.0117,0.00232
346,0.0842,0.0179,0.0025
347,0.0879,0.019,0.0027
348,0.07,0.0201,0.0012
349,0.0732,0.015,0.00203
350,0.0765,0.0159,0.0022
351,0.0799,0.0169,0.00237
