,x1,y1,z1
6230015,2500,2500,1.9691836300622214
6229865,2500,2350,0.9877024958390874
6229715,2500,2200,0.38800285426588743
6229565,2500,2050,0.09032300076025225
6229415,2500,1900,0.013459385764716577
6229265,2500,1750,0.0014267156332743185
6229115,2500,1600,0.00010526489237210128
6228965,2500,1450,4.242643516959853e-06
6228815,2500,1300,2.3104472585346992e-07
6228665,2500,1150,1.5200307136672514e-08
6228515,2500,1000,8.685889883260924e-10
6228365,2500,850,4.342944698377123e-10
6228215,2500,700,-0.0
6228065,2500,550,4.342944698377123e-10
6227915,2500,400,3.4743558672946905e-09
6227765,2500,250,6.979117931730207e-07
6227615,2500,100,0.0005213771833654073
6227465,2499,2446,1.6902215590959737
6227315,2499,2296,0.7085996487986954
6227165,2499,2146,0.23481221600884042
6227015,2499,1996,0.05187124382071263
6226865,2499,1846,0.006815824258270755
6226715,2499,1696,0.0005278751248534243
6226565,2499,1546,2.6761616200884213e-05
6226415,2499,1396,1.6177499581551107e-06
6226265,2499,1246,6.340699897731935e-08
6226115,2499,1096,5.2115338113651035e-09
6225965,2499,946,8.685889883260924e-10
6225815,2499,796,4.342944698377123e-10
6225665,2499,646,-0.0
6225515,2499,496,8.685889883260924e-10
6225365,2499,346,1.3463129152647006e-08
6225215,2499,196,2.3130585703091884e-06
6225065,2499,46,0.008153626409316921
6224915,2498,2392,1.310529478426164
6224765,2498,2242,0.5139423766667491
6224615,2498,2092,0.1417490486853046
6224465,2498,1942,0.027111362070573988
6224315,2498,1792,0.0025087020299270385
6224165,2498,1642,0.000169848865733017
6224015,2498,1492,8.282509042484945e-06
6223865,2498,1342,5.554629975819031e-07
6223715,2498,1192,2.649196422632136e-08
6223565,2498,1042,1.7371779301729894e-09
6223415,2498,892,4.342944698377123e-10
6223265,2498,742,-0.0
6223115,2498,592,-0.0
6222965,2498,442,8.685889883260924e-10
6222815,2498,292,4.646951203736148e-08
6222665,2498,142,3.027963252891465e-05
6222515,2497,2488,2.036816545553533
6222365,2497,2338,0.9315531574466475
6222215,2497,2188,0.32859545493700554
6222065,2497,2038,0.07774116883567553
6221915,2497,1888,0.012664980525228934
6221765,2497,1738,0.0012896690893982403
6221615,2497,1588,6.510041031057355e-05
6221465,2497,1438,3.3779556171118155e-06
6221315,2497,1288,1.6894058631476693e-07
6221165,2497,1138,9.988773205442129e-09
6221015,2497,988,8.685889883260924e-10
6220865,2497,838,4.342944698377123e-10
6220715,2497,688,-0.0
6220565,2497,538,4.342944698377123e-10
6220415,2497,388,3.4743558672946905e-09
6220265,2497,238,6.032354543186811e-07
6220115,2497,88,0.0017718146019204475
6219965,2496,2434,1.551874786876086
6219815,2496,2284,0.6615510070047727
6219665,2496,2134,0.21054652937600346
6219515,2496,1984,0.04350229018746781
6219365,2496,1834,0.006336881033107621
6219215,2496,1684,0.0004681267722405678
6219065,2496,1534,2.229203927490367e-05
6218915,2496,1384,1.2533756833859662e-06
6218765,2496,1234,7.643583554930998e-08
