,x1,y1,z1
6230015,2500,2500,1.2599646470900823
6229865,2500,2350,0.529138192022423
6229715,2500,2200,0.15355007628139464
6229565,2500,2050,0.027805948070566244
6229415,2500,1900,0.002838579853177806
6229265,2500,1750,0.0001677139130960036
6229115,2500,1600,6.517940495144454e-06
6228965,2500,1450,3.135607291332975e-07
6228815,2500,1300,9.554478726049939e-09
6228665,2500,1150,8.685889883260924e-10
6228515,2500,1000,-0.0
6228365,2500,850,-0.0
6228215,2500,700,-0.0
6228065,2500,550,-0.0
6227915,2500,400,4.342944698377123e-10
6227765,2500,250,4.0389388710012116e-08
6227615,2500,100,0.0001053739267254393
6227465,2499,2446,1.0418432352584401
6227315,2499,2296,0.3699883907226322
6227165,2499,2146,0.08682715130174473
6227015,2499,1996,0.013362316860749438
6226865,2499,1846,0.001194635479109481
6226715,2499,1696,4.863328183660696e-05
6226565,2499,1546,1.8370695438770652e-06
6226415,2499,1396,6.036693716033383e-08
6226265,2499,1246,3.9086503406067585e-09
6226115,2499,1096,-0.0
6225965,2499,946,-0.0
6225815,2499,796,-0.0
6225665,2499,646,-0.0
6225515,2499,496,-0.0
6225365,2499,346,8.685889883260924e-10
6225215,2499,196,4.959645815334799e-07
6225065,2499,46,0.008153626409316921
6224915,2498,2392,0.7162559602002544
6224765,2498,2242,0.24421287000548544
6224615,2498,2092,0.04401469688164983
6224465,2498,1942,0.005681375043764188
6224315,2498,1792,0.00034132843584496294
6224165,2498,1642,1.710719657060557e-05
6224015,2498,1492,6.96174612458147e-07
6223865,2498,1342,2.7794847716613272e-08
6223715,2498,1192,1.3028834590323938e-09
6223565,2498,1042,-0.0
6223415,2498,892,-0.0
6223265,2498,742,-0.0
6223115,2498,592,-0.0
6222965,2498,442,-0.0
6222815,2498,292,1.1291656694440843e-08
6222665,2498,142,3.027963252891465e-05
6222515,2497,2488,1.3107389780728513
6222365,2497,2338,0.5233202417598473
6222215,2497,2188,0.13584364979260566
6222065,2497,2038,0.026563021214359335
6221915,2497,1888,0.0020967048334009624
6221765,2497,1738,0.00014703270007689287
6221615,2497,1588,5.35314677545385e-06
6221465,2497,1438,2.388620307286675e-07
6221315,2497,1288,6.514417286032099e-09
6221165,2497,1138,4.342944698377123e-10
6221015,2497,988,-0.0
6220865,2497,838,-0.0
6220715,2497,688,-0.0
6220565,2497,538,-0.0
6220415,2497,388,8.685889883260924e-10
6220265,2497,238,1.4331720267230157e-07
6220115,2497,88,0.00040326630124997017
6219965,2496,2434,0.9855248755307828
6219815,2496,2284,0.33860968713778494
6219665,2496,2134,0.08424161830869778
6219515,2496,1984,0.01059815716927812
6219365,2496,1834,0.0008472802339929248
6219215,2496,1684,4.1647797651200275e-05
6219065,2496,1534,1.4666149417554521e-06
6218915,2496,1384,7.33957736411226e-08
6218765,2496,1234,2.605766921973438e-09
6218615,2496,1084,4.342944698377123e-10
6218465,2496,934,-0.0
6218315,2496,784,-0.0
6218165,2496,634,-0.0
6218015,2496,484,-0.0
6217865,2496,334,3.040061394416917e-09
6217715,2496,184,1.803628728584777e-06
6217565,2496,34,0.031061071555425753
6217415,2495,2380,0.6702035053467303
6217265,2495,2230,0.22000735031854377
6217115,2495,2080,0.04232255012241293
6216965,2495,1930,0.004331455498846534
6216815,2495,1780,0.00030325338837880765
6216665,2495,1630,1.433065145492994e-05
6216515,2495,1480,5.415655566158461e-07
6216365,2495,1330,1.954325210302871e-08
6216215,2495,1180,8.685889883260924e-10
6216065,2495,1030,-0.0
6215915,2495,880,-0.0
6215765,2495,730,-0.0
6215615,2495,580,-0.0
6215465,2495,430,4.342944698377123e-10
6215315,2495,280,3.90865051337202e-08
6215165,2495,130,2.2332430736826736e-05
6215015,2494,2476,1.2474322390526682
6214865,2494,2326,0.4846424817325423
6214715,2494,2176,0.13250157697950676
6214565,2494,2026,0.02172905921348327
6214415,2494,1876,0.001922542593266365
6214265,2494,1726,0.00012843813137769982
6214115,2494,1576,4.371630257279387e-06
6213965,2494,1426,1.8066654205173399e-07
6213815,2494,1276,8.251595242262759e-09
6213665,2494,1126,4.342944698377123e-10
6213515,2494,976,-0.0
6213365,2494,826,-0.0
6213215,2494,676,-0.0
6213065,2494,526,-0.0
6212915,2494,376,8.685889883260924e-10
6212765,2494,226,1.0900792864110534e-07
6212615,2494,76,0.0014890913233469116
6212465,2493,2422,0.9306545920227323
6212315,2493,2272,0.30883088652744717
6212165,2493,2122,0.07259371982849576
6212015,2493,1972,0.009974763085756497
6211865,2493,1822,0.0007645196481727388
6211715,2493,1672,3.551371178311576e-05
6211565,2493,1522,1.1630421798416138e-06
6211415,2493,1372,5.341822454325795e-08
6211265,2493,1222,1.7371779301729894e-09
6211115,2493,1072,-0.0
6210965,2493,922,-0.0
6210815,2493,772,-0.0
6210665,2493,622,-0.0
6210515,2493,472,-0.0
6210365,2493,322,2.605766921973438e-09
6210215,2493,172,6.3976391348633335e-06
6210065,2493,22,0.025774121465933848
6209915,2492,2368,0.625703404861864
6209765,2492,2218,0.19734822325226237
6209615,2492,2068,0.04065170859957213
6209465,2492,1918,0.0040186707331421444
6209315,2492,1768,0.00026855735191379275
6209165,2492,1618,1.19449996986368e-05
6209015,2492,1468,4.182257874333646e-07
6208865,2492,1318,1.3897423635947848e-08
6208715,2492,1168,8.685889883260924e-10
6208565,2492,1018,-0.0
6208415,2492,868,-0.0
6208265,2492,718,-0.0
6208115,2492,568,-0.0
6207965,2492,418,-0.0
6207815,2492,268,3.1703498355590045e-08
6207665,2492,118,8.248209137878614e-05
6207515,2491,2464,1.1854831385874183
6207365,2491,2314,0.44757221600182034
6207215,2491,2164,0.11640182430271671
6207065,2491,2014,0.017607646001478277
6206915,2491,1864,0.0017586812467818521
6206765,2491,1714,8.201470200860761e-05
6206615,2491,1564,3.54993760367974e-06
6206465,2491,1414,1.354998994686952e-07
6206315,2491,1264,5.64582828641435e-09
6206165,2491,1114,4.342944698377123e-10
6206015,2491,964,-0.0
6205865,2491,814,-0.0
6205715,2491,664,-0.0
6205565,2491,514,-0.0
6205415,2491,364,8.685889883260924e-10
6205265,2491,214,3.9260238908306327e-07
6205115,2491,64,0.0010634763236625623
6204965,2490,2410,0.8772615096873639
6204815,2490,2260,0.280652252407029
6204665,2490,2110,0.06213343078576836
6204515,2490,1960,0.0077948487090916145
6204365,2490,1810,0.0006879106564516187
6204215,2490,1660,3.0149769444323793e-05
6204065,2490,1510,1.4045106255781046e-06
6203915,2490,1360,3.865221062523028e-08
6203765,2490,1210,2.1714724017478795e-09
6203615,2490,1060,-0.0
6203465,2490,910,-0.0
6203315,2490,760,-0.0
6203165,2490,610,-0.0
6203015,2490,460,-0.0
6202865,2490,310,8.685889720352065e-09
6202715,2490,160,4.812009518092642e-06
6202565,2490,10,0.1389783819507083
6202415,2489,2356,0.6194297777284983
6202265,2489,2206,0.1762177501078109
6202115,2489,2056,0.0338823466230919
6201965,2489,1906,0.00372084138219302
6201815,2489,1756,0.0002370422395256657
6201665,2489,1606,9.905935810387016e-06
6201515,2489,1456,3.205094459126553e-07
6201365,2489,1306,1.6937485127646734e-08
6201215,2489,1156,4.342944698377123e-10
6201065,2489,1006,-0.0
6200915,2489,856,-0.0
6200765,2489,706,-0.0
6200615,2489,556,-0.0
6200465,2489,406,8.685889883260924e-10
6200315,2489,256,1.0987651779923094e-07
6200165,2489,106,0.00029497915890164733
6200015,2488,2452,1.124923108078752
6199865,2488,2302,0.4121225435807832
6199715,2488,2152,0.10167391766464766
6199565,2488,2002,0.016689916773542587
6199415,2488,1852,0.0012671180774092516
6199265,2488,1702,7.078534579562985e-05
6199115,2488,1552,2.8659187421871222e-06
6198965,2488,1402,1.0075633148447202e-07
6198815,2488,1252,3.9086503406067585e-09
6198665,2488,1102,4.342944698377123e-10
6198515,2488,952,-0.0
6198365,2488,802,-0.0
6198215,2488,652,-0.0
6198065,2488,502,-0.0
6197915,2488,352,2.1714724017478795e-09
6197765,2488,202,1.381058648333074e-06
6197615,2488,52,0.004248971262914179
6197465,2487,2398,0.8253740965174242
6197315,2487,2248,0.2757975602344046
6197165,2487,2098,0.05996886421900501
6197015,2487,1948,0.007294191238422379
6196865,2487,1798,0.0006171921036914893
6196715,2487,1648,2.547993610004714e-05
6196565,2487,1498,1.1065837496739218e-06
6196415,2487,1348,4.690380660188508e-08
6196265,2487,1198,1.3028834590323938e-09
6196115,2487,1048,-0.0
6195965,2487,898,-0.0
6195815,2487,748,-0.0
6195665,2487,598,-0.0
6195515,2487,448,-0.0
6195365,2487,298,6.948711762384229e-09
6195215,2487,148,1.7391236443001175e-05
6195065,2486,2494,1.2894297064471383
6194915,2486,2344,0.576530071527386
6194765,2486,2194,0.17228705812725323
6194615,2486,2044,0.027999717403504414
6194465,2486,1894,0.0034378278500135375
6194315,2486,1744,0.00020851009454434977
6194165,2486,1594,8.171761851658227e-06
6194015,2486,1444,3.8782514548023456e-07
6193865,2486,1294,1.1725951175570211e-08
6193715,2486,1144,8.685889883260924e-10
6193565,2486,994,-0.0
6193415,2486,844,-0.0
6193265,2486,694,-0.0
6193115,2486,544,-0.0
6192965,2486,394,4.342944698377123e-10
6192815,2486,244,8.685890506903885e-08
6192665,2486,94,0.00021865281749323617
6192515,2485,2440,1.0657833811534767
6192365,2485,2290,0.3783039015361395
6192215,2485,2140,0.09874613829359116
6192065,2485,1990,0.0157967925969018
6191915,2485,1840,0.001149669031001824
6191765,2485,1690,6.084631334900331e-05
6191615,2485,1540,2.2991610730998894e-06
6191465,2485,1390,7.383006818435609e-08
6191315,2485,1240,4.342944862569495e-09
6191165,2485,1090,-0.0
6191015,2485,940,-0.0
6190865,2485,790,-0.0
6190715,2485,640,-0.0
6190565,2485,490,-0.0
6190415,2485,340,2.1714724017478795e-09
6190265,2485,190,1.0535996911141517e-06
6190115,2485,40,0.01636647334149866
6189965,2484,2386,0.7750200486676797
6189815,2484,2236,0.24937892536357642
6189665,2484,2086,0.05083872474972945
6189515,2484,1936,0.006813278307880248
6189365,2484,1786,0.00042268208383999714
6189215,2484,1636,2.14325272286761e-05
6189065,2484,1486,8.659840603037195e-07
6188915,2484,1336,3.3440676412577034e-08
6188765,2484,1186,1.7371779301729894e-09
6188615,2484,1036,-0.0
6188465,2484,886,-0.0
6188315,2484,736,-0.0
6188165,2484,586,-0.0
6188015,2484,436,-0.0
6187865,2484,286,2.432049165475464e-08
6187715,2484,136,1.243663485238063e-05
6187565,2483,2482,1.340614780934089
6187415,2483,2332,0.5352443312733552
6187265,2483,2182,0.1528650081352282
6187115,2483,2032,0.026709058790406675
6186965,2483,1882,0.0025502363897559792
6186815,2483,1732,0.00013575517857864242
6186665,2483,1582,6.704689965272284e-06
6186515,2483,1432,2.948860533276227e-07
6186365,2483,1282,7.817300764607745e-09
6186215,2483,1132,4.342944698377123e-10
6186065,2483,982,-0.0
6185915,2483,832,-0.0
6185765,2483,682,-0.0
6185615,2483,532,-0.0
6185465,2483,382,4.342944698377123e-10
6185315,2483,232,3.035719489456979e-07
6185165,2483,82,0.0008159093269373705
6185015,2482,2428,1.0080949041971534
6184865,2482,2278,0.34612377882999695
6184715,2482,2128,0.08556056448914902
6184565,2482,1978,0.012582967842476343
6184415,2482,1828,0.001040334547981488
6184265,2482,1678,5.208415161852535e-05
6184115,2482,1528,1.833160876989759e-06
6183965,2482,1378,8.94646724639494e-08
6183815,2482,1228,3.040061394416917e-09
6183665,2482,1078,4.342944698377123e-10
6183515,2482,928,-0.0
6183365,2482,778,-0.0
6183215,2482,628,-0.0
6183065,2482,478,-0.0
6182915,2482,328,6.514417286032099e-09
6182765,2482,178,3.754057726633488e-06
6182615,2482,28,0.06087694271373582
6182465,2481,2374,0.726226128179737
6182315,2481,2224,0.22456295492533707
6182165,2481,2074,0.04889834771451232
6182015,2481,1924,0.005217082917409383
6181865,2481,1774,0.00037551911434019166
6181715,2481,1624,1.7940641310464027e-05
6181565,2481,1474,6.727226735115679e-07
6181415,2481,1324,2.3886197161030733e-08
6181265,2481,1174,8.685889883260924e-10
6181115,2481,1024,-0.0
6180965,2481,874,-0.0
6180815,2481,724,-0.0
6180665,2481,574,-0.0
6180515,2481,424,-0.0
6180365,2481,274,1.954325210302871e-08
6180215,2481,124,4.621312872688961e-05
6180065,2480,2470,1.275795344144115
6179915,2480,2320,0.49559097347998976
6179765,2480,2170,0.13492917460947426
6179615,2480,2020,0.02180490727009437
6179465,2480,1870,0.0023389434982163267
6179315,2480,1720,0.00011805120311747973
6179165,2480,1570,5.470407746767297e-06
6179015,2480,1420,2.223588316377236e-07
6178865,2480,1270,9.554478726049939e-09
6178715,2480,1120,4.342944698377123e-10
6178565,2480,970,-0.0
6178415,2480,820,-0.0
6178265,2480,670,-0.0
6178115,2480,520,-0.0
6177965,2480,370,1.7371779301729894e-09
6177815,2480,220,2.3408478881698397e-07
6177665,2480,70,0.002927471356925645
6177515,2479,2416,0.9518882185803217
6177365,2479,2266,0.3406793816306543
6177215,2479,2116,0.08286041083824097
6177065,2479,1966,0.011846883352609226
6176915,2479,1816,0.0009388225599180182
6176765,2479,1666,4.43919420008384e-05
6176615,2479,1516,1.4518488797886537e-06
6176465,2479,1366,6.514417716112036e-08
6176315,2479,1216,3.4743558672946905e-09
6176165,2479,1066,-0.0
6176015,2479,916,-0.0
6175865,2479,766,-0.0
6175715,2479,616,-0.0
6175565,2479,466,-0.0
6175415,2479,316,5.64582828641435e-09
6175265,2479,166,2.753435743664356e-06
6175115,2479,16,0.05903525575183834
6174965,2478,2362,0.6790179966715462
6174815,2478,2212,0.2200172911767807
6174665,2478,2062,0.04102705883791598
6174515,2478,1912,0.004841810303112455
6174365,2478,1762,0.0003325362743215017
6174215,2478,1612,1.4943027312695875e-05
6174065,2478,1462,5.185479209579025e-07
